StoreID;StoreCode;StoreName;DITOStoreID;Address;Province;PriceRegion;StoreTypeID;StateID;Country;ReportingStatus;Column1;_1;_2;_3;_4;_5;_6;_7;_8;_9;_10
596;9ABN;MORNINGSIDE SERVICE STATION;596;Cnr Rivonia Rd &, Kelvin Dr, Morningside, Sandton, 2196.;GAUTENG CENTRAL;ENGEN - ZENEX SHOP;ENGEN - ZENEX SHOP - GAUTENG CENTRAL;Gauteng Central;SOUTH AFRICA;TRUE;;;;;;;;;;;
597;7FRL;CJ SERVICE STATION;597;396 Rustenburg Rd, Victory Park, Randburg, 2195.;GAUTENG CENTRAL;ENGEN - QUICKSHOP;ENGEN - QUICKSHOP - GAUTENG CENTRAL;Gauteng Central;SOUTH AFRICA;TRUE;;;;;;;;;;;
598;8BNR;WATERFALL CONVENIENCE CENTRE;598;6 Link Rd, Waterfall, 3610.;GAUTENG CENTRAL;ENGEN - QUICKSHOP;ENGEN - QUICKSHOP - GAUTENG CENTRAL;Gauteng Central;SOUTH AFRICA;TRUE;;;;;;;;;;;
599;8BMK;BOTHASIG MOTORS;599;Vryburger Ave, Milnerton, Cape Town, 7441.;CAPE WEST;ENGEN - QUICKSHOP;ENGEN - QUICKSHOP - CAPE WEST;Cape West;SOUTH AFRICA;TRUE;;;;;;;;;;;
600;2EHR;PAARL VILLAGE CONVENIENCE CENTRE;600;Main Rd, Vrykyk, Paarl, 7646.;CAPE WEST;ENGEN - QUICKSHOP;ENGEN - QUICKSHOP - CAPE WEST;Cape West;SOUTH AFRICA;TRUE;;;;;;;;;;;
601;9AAS;KLOPPERPARK CONVENIENCE CENTRE;601;Planeet Rd, Klopperpark, Germiston, 1601.;GAUTENG EAST;ENGEN - ZENEX SHOP;ENGEN - ZENEX SHOP - GAUTENG EAST;Gauteng East;SOUTH AFRICA;TRUE;;;;;;;;;;;
602;2EGN;FLAMINGOVLEI MOTORS;602;Boy De Goede Cir, Table View, Cape Town, 7441.;CAPE WEST;ENGEN - QUICKSHOP;ENGEN - QUICKSHOP - CAPE WEST;Cape West;SOUTH AFRICA;TRUE;;;;;;;;;;;
603;7PBN;CLAYVILLE NORTH CONVENIENCE CENTRE;603;Cnr Olifantsfontein & Southward Dr, Clayville, Olifantsfontein, 1666.;GAUTENG CENTRAL;ENGEN - QUICKSHOP;ENGEN - QUICKSHOP - GAUTENG CENTRAL;Gauteng Central;SOUTH AFRICA;TRUE;;;;;;;;;;;
604;9AAD;ENGEN GREAT NORTH;604; 28 Great N Rd, Brentwood Park, Benoni, 1501.;GAUTENG EAST;ENGEN - QUICKSHOP;ENGEN - QUICKSHOP - GAUTENG EAST;Gauteng East;SOUTH AFRICA;TRUE;;;;;;;;;;;
605;7PBF;HAZELDEAN CONVENIENCE  CENTRE;605;Cnr Silver Lakes Rd & Palomino St, Hazeldene Shopping Centre, Tyger Valley, Pretoria, 0081.;INLAND NORTH;ENGEN - QUICKSHOP;ENGEN - QUICKSHOP - INLAND NORTH;Inland North;SOUTH AFRICA;TRUE;;;;;;;;;;;
606;8BAN;TOM CAMPHER MOTORS;606;Cnr Annet Rd &, Stanley Ave, Auckland Park, Johannesburg, 2092.;GAUTENG CENTRAL;ENGEN - QUICKSHOP;ENGEN - QUICKSHOP - GAUTENG CENTRAL;Gauteng Central;SOUTH AFRICA;TRUE;;;;;;;;;;;
607;8CNL;PROGRESS MOTORS;607;35 Thompson Ave, Bizana, 4800.;CAPE EAST;ENGEN - QUICKSHOP;ENGEN - QUICKSHOP - CAPE EAST;Cape East;SOUTH AFRICA;TRUE;;;;;;;;;;;
610;6DLA;MA-AFRICA CONVENIENCE CENTRE;610;333 Durban Rd, Bellville, Cape Town, 7530.;GAUTENG SOUTH WEST;ENGEN - QUICKSHOP;ENGEN - QUICKSHOP - GAUTENG SOUTH WEST;Gauteng South West;SOUTH AFRICA;TRUE;;;;;;;;;;;
